id;i_sbn;nom;maison_edition
1;navigating;Music Towels;Versatile
2;grow;service-desk global Fish;Intelligent
3;Wooden Antarctica (the territory South of 60 deg S) extensible;parse;Metrics Guatemala
4;networks Awesome Rubber Chips;Gorgeous Frozen Chicken Quality;Mongolia 24/7
5;e-business overriding deposit;streamline British Indian Ocean Territory (Chagos Archipelago);Dominican Peso payment
6;deliverables;copy;bandwidth
7;function;B2C;Liberian Dollar local reboot
8;indexing;application;Global Rand Namibia Dollar
9;RSS maroon;Producer;Money Market Account program
10;calculate;Future-proofed;Architect
